id,name,poster,average_rating
tt0107692,Ninja Scroll,"https://m.media-amazon.com/images/M/MV5BNmEwYmQwOWYtOWE4Yy00ZWIxLTgwMGEtYTNiNDVlODcwYWVkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.8
tt0106364,Batman: Mask of the Phantasm,"https://m.media-amazon.com/images/M/MV5BYTRiMWM3MGItNjAxZC00M2E3LThhODgtM2QwOGNmZGU4OWZhXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX67_CR0,0,67,98_AL_.jpg",7.8
tt0327597,Coraline,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt0096438,Who Framed Roger Rabbit,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt0158983,"South Park: Bigger, Longer & Uncut",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt2013293,The Wind Rises,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt4302938,Kubo and the Two Strings,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt0032455,Fantasia,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt0104652,Porco Rosso,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt0243017,Waking Life,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt3398268,When Marnie Was There,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt0286244,The Triplets of Belleville,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt0808506,The Girl Who Leapt Through Time,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt3901826,The Breadwinner,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.7
tt3521164,Moana,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt1488589,Guillermo del Toro's Pinocchio,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0097757,The Little Mermaid,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0441773,Kung Fu Panda,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0120762,Mulan,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt7979580,The Mitchells vs the Machines,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0876563,Ponyo,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0029583,Snow White and the Seven Dwarfs,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
tt0078480,Watership Down,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.6
