user_id,movie_id,rate
Smells_Like_Cheese,12 Angry Men,10
TheLittleSongbird,12 Angry Men,10
Xstal,12 Angry Men,9
lee_eisenberg,12 Angry Men,10
classicsoncall,12 Angry Men,9
KissEnglishPasto,12 Angry Men,10
ma-cortes,12 Angry Men,8
AlsExGal,12 Angry Men,9
kevin_robbins,12 Angry Men,8
ElMaruecan82,12 Angry Men,10
Theo Robertson,12 Angry Men,10
Quinoa1984,12 Angry Men,10
Xarx117,12 Angry Men,10
evanston_dad,12 Angry Men,10
moonspinner55,12 Angry Men,8
bevo-13678,12 Angry Men,10
doomedmac,12 Angry Men,10
rmax304823,12 Angry Men,8
auuwws,12 Angry Men,10
bretttaylor-04022,12 Angry Men,10
thinker1691,12 Angry Men,10
ACollegeStudent,12 Angry Men,8
gavin6942,12 Angry Men,9
ironhorse_iv,12 Angry Men,9
Danny_G13,12 Angry Men,10
Fella_shibby,12 Angry Men,10
swatibcharan,12 Angry Men,10
safenoe,12 Angry Men,10
view_and_review,12 Angry Men,10
SimonHeide,12 Angry Men,8
briancham1994,12 Angry Men,10
zkonedog,12 Angry Men,9
sauravjoshi85,12 Angry Men,9
marmar-69780,12 Angry Men,10
maryolalov,12 Angry Men,8
bellino-angelo2014,12 Angry Men,10
Amyth47,12 Angry Men,9
RonellSowes,12 Angry Men,10
ethanbresnett,12 Angry Men,10
zac-04879,12 Angry Men,10
bobsgrock,12 Angry Men,9
areatw,12 Angry Men,10
Red-Barracuda,12 Angry Men,7
ronakkotian,12 Angry Men,10
Tweekums,12 Angry Men,10
grantss,12 Angry Men,7
hitchcockthelegend,12 Angry Men,9
zzhhhqing,12 Angry Men,10
higherall7,12 Angry Men,10
ackstasis,12 Angry Men,10
ssssgelojun,12 Angry Men,9
calspers,12 Angry Men,9
secondtake,12 Angry Men,9
gcd70,12 Angry Men,7
t-81966-84968,12 Angry Men,8
trminator-35198,12 Angry Men,7
goreilly40,12 Angry Men,10
Coxer99,12 Angry Men,9
ProperCharlie,12 Angry Men,8
tobybunning,12 Angry Men,10
sandnair87,12 Angry Men,10
R_Alex_Jenkins,12 Angry Men,10
Leofwine_draca,12 Angry Men,10
JamesHitchcock,12 Angry Men,10
jboothmillard,12 Angry Men,9
ji-64500,12 Angry Men,10
ThatAnimeSnob,12 Angry Men,9
TBJCSKCNRRQTreviews,12 Angry Men,10
StevePulaski,12 Angry Men,10
cricketbat,12 Angry Men,8
disdressed12,12 Angry Men,10
jack_o_hasanov_imdb,12 Angry Men,10
g-bodyl,12 Angry Men,9
Thanos_Alfie,12 Angry Men,9
bkoganbing,12 Angry Men,6
damianphelps,12 Angry Men,10
Bored_Dragon,12 Angry Men,10
gianmarcoronconi,12 Angry Men,10
Movie_Muse_Reviews,12 Angry Men,10
Anonymous_Maxine,12 Angry Men,10
estebangonzalez10,12 Angry Men,10
frankde-jong,12 Angry Men,9
Kingslaay,12 Angry Men,8
slokes,12 Angry Men,7
Abdulxoxo,12 Angry Men,9
HabibieHakim123,12 Angry Men,10
AaronCapenBanner,12 Angry Men,7
moviewizguy,12 Angry Men,10
Howlin Wolf,12 Angry Men,10
SPZMaxinema,12 Angry Men,9
bevo-13678,Pulp Fiction,10
auuwws,Pulp Fiction,9
Quinoa1984,Pulp Fiction,10
Rainey-Dawn,Pulp Fiction,7
Xstal,Pulp Fiction,9
hitchcockthelegend,Pulp Fiction,10
maryolalov,Pulp Fiction,9
TheLittleSongbird,Pulp Fiction,10
Sleepin_Dragon,Pulp Fiction,10
pokemon_trainer_lucas,Pulp Fiction,8
MovieAddict2016,Pulp Fiction,8
helpless_dancer,Pulp Fiction,9
filipemanuelneto,Pulp Fiction,6
saadanathan,Pulp Fiction,8
UniqueParticle,Pulp Fiction,10
